exp_id,frozen_mode,rank,alpha,lr,dropout,epoch_checkpoint,auto_score_0_1,modal_accuracy,in_mode_ratio,tonal_stability,tonic_dominance,template_similarity,training_status,training_duration_sec,training_error
1,B,32,32,0.0001,0.05,140,0.724416,0.741638,0.741638,0.893237,0.117618,0.890238,SUCCESS,5421.0,
2,B,32,32,0.0001,0.1,140,0.724368,0.741624,0.741624,0.89319,0.117324,0.890227,SUCCESS,5436.2,
9,B,64,32,0.0001,0.05,140,0.724262,0.74178,0.74178,0.889563,0.122309,0.890502,SUCCESS,5436.5,
18,B,128,32,0.0001,0.1,140,0.724107,0.742919,0.742919,0.88728,0.112953,0.896047,SUCCESS,2590.6,
10,B,64,32,0.0001,0.1,140,0.724106,0.74166,0.74166,0.889098,0.122447,0.890456,SUCCESS,5446.3,
17,B,128,32,0.0001,0.05,140,0.724005,0.742832,0.742832,0.888923,0.11237,0.892845,SUCCESS,5541.1,
21,B,128,128,0.0001,0.05,140,0.720681,0.735292,0.735292,0.890193,0.128053,0.886615,SUCCESS,5551.1,
6,B,32,128,0.0001,0.1,140,0.720311,0.734589,0.734589,0.894044,0.124958,0.882529,SUCCESS,5441.2,
22,B,128,128,0.0001,0.1,140,0.720294,0.734958,0.734958,0.890387,0.126232,0.886188,SUCCESS,5546.2,
5,B,32,128,0.0001,0.05,140,0.720194,0.734356,0.734356,0.893613,0.12644,0.88214,SUCCESS,5436.2,
